"識別id","利用時間","制限時間","手数料","制限事項1","制限事項2","種別","普通車","貨物用有り","二輪車","標章車専用有り"
204,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
205,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
207,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
208,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
209,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
210,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
211,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
212,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
213,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
214,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
215,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
216,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
217,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
218,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
220,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
221,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
223,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
224,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
225,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
226,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
227,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
228,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
229,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
230,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
232,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
233,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
234,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
235,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
236,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
237,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
238,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
241,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
242,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
243,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
245,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
246,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
247,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
248,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
249,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
250,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
252,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
253,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
254,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
256,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,0,0,0
257,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
262,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
264,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
266,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
268,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
270,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
272,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
273,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
274,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
277,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
279,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
280,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
281,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
282,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
283,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
286,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
288,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
291,"10:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
293,"10:00-16:30","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
294,"10:00-16:30","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
295,"10:00-16:30","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
297,"10:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
298,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
302,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
303,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
304,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
306,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
307,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
309,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
310,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
313,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
314,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
315,"09:00-21:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
316,"09:00-21:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
317,"09:00-21:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
318,"09:00-21:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
320,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
321,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
322,"07:00-16:00","40","200",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
323,"07:00-20:00","40","200",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
324,"09:00-20:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
325,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
326,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
328,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
329,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,1
330,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
333,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
334,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
335,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
336,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
337,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
338,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
341,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
342,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
344,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
345,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
346,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
347,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
348,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
350,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
352,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
355,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
357,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
359,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
361,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
364,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
365,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
367,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
368,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
369,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
371,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
372,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
373,"07:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
